Entity_id,Phenotype,Catapp_id,Chem_name,Dose_1000x,Dose_100x,Dose_10x,Dose_1x,pod_sd1
185,Cardio_peak_freq_90min,4,187(2)/OGO,89.05792643,97.33205048,64.12719444,0,0.014846111
186,Cardio_peak_freq_90min,5,043/kerosine,82.87189813,99.86756466,107.5852931,189.6409145,0.903168087
187,Cardio_peak_freq_90min,6,017/HFO,86.16067267,105.0653687,146.7704538,0,1.621725089
188,Cardio_peak_freq_90min,7,Pentadecane,82.87189813,99.3287679,118.4829414,111.3712336,0.353302484
189,Cardio_peak_freq_90min,8,181/VHGO,84.75119787,99.04352255,134.4484929,0,1.583305324
190,Cardio_peak_freq_90min,9,151/OLBO,89.08402782,100.2478918,104.9354091,125.9163493,1.034316131
191,Cardio_peak_freq_90min,10,135/TDAE,92.16399127,134.5090271,0,0,0.442371226
192,Cardio_peak_freq_90min,11,Benz(a)anthracene,84.20306878,101.5156489,134.0510103,114.2411219,0.077831382
193,Cardio_peak_freq_90min,12,136/slackwax,81.5146261,92.70473711,101.4905598,112.0560933,2
194,Cardio_peak_freq_90min,13,006/HFO,82.55868151,105.0970627,155.5481948,17.21932982,1.552816822
195,Cardio_peak_freq_90min,14,108/OLBO,90.93722617,95.46210878,109.9370653,158.5939411,0.88133821
196,Cardio_peak_freq_90min,15,082/UATO,91.01553032,117.4576943,0,0,0.420127805
197,Cardio_peak_freq_90min,16,104/kerosine,83.26341891,106.3331258,0,0,0.361910019
198,Cardio_peak_freq_90min,17,180/VHGO,84.56848817,105.0336748,0,0,0.417030412
199,Cardio_peak_freq_90min,18,164/HFO,90.44129985,124.0817251,0,0,0.467640286
200,Cardio_peak_freq_90min,19,Dibenzothiophene,83.68104107,103.3538967,114.2100033,128.4601139,0.483345189
201,Cardio_peak_freq_90min,20,191/BITUMEN,80.10515129,95.14516951,103.4779728,97.51097756,-1.634691604
202,Cardio_peak_freq_90min,21,041/CGO,83.52443276,94.95500594,116.1974164,0,1.52745214
203,Cardio_peak_freq_90min,22,195/UDAE,91.82467327,0,5.730374296,11.44694084,-1.044117576
204,Cardio_peak_freq_90min,23,009/gasoline,81.90614688,97.26866263,116.7936403,144.1140501,0.855373398
205,Cardio_peak_freq_90min,24,119/OLBO,80.02684714,96.76155979,101.5899304,104.033451,2
206,Cardio_peak_freq_90min,25,184/VHGO,87.30913362,118.028185,0,0,0.498238841
207,Cardio_peak_freq_90min,26,060/OLBO,84.22917016,97.90254117,101.0599536,120.82882,1.43973762
208,Cardio_peak_freq_90min,27,155/HFO,82.34987043,105.9527987,0,0,0.437392894
209,Cardio_peak_freq_90min,28,128/kerosine,92.1117885,97.68068368,109.4070884,230.6672723,0.863244121
210,Cardio_peak_freq_90min,29,059/dieselfuel,86.52609206,94.76484238,114.1106327,214.1328022,0.732185322
211,Cardio_peak_freq_90min,30,096A/UDAE,89.86706937,134.4456393,13.24942034,0,0.759734127
