,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,pod_sd1_log
37,down,4.598369133,7.206276799,9.48541602,5.119350299,8.064300357,10.67492148,8.379581848,32.09456067,122.9250867,0.662603831
38,up,100,100,100,100,100,100,1.77E-28,64.1829659,2.33E+31,2
39,down,5.792803612,100,100,12.23124282,100,100,0.025832861,522.1057442,10552234.64,0.762888805
40,down,9.020015321,42.50052138,100,12.75660465,66.42659647,100,3.308551899,151.3121115,6920.053182,0.955207275
41,down,0.013007868,0.158310154,100,0.013914362,100,100,0.004652965,0.008572229,0.015792748,-1.885793889
42,down,0.040374775,100,100,100,100,100,0.002740571,0.00618933,0.01397804,-1.393889883
43,down,2.290703781,100,100,35.13166127,100,100,3.18E-07,0.000466138,0.682794947,0.359968933
44,down,100,100,100,100,100,100,2.21E-07,0.000179061,0.144888717,2
45,down,100,100,100,100,100,100,0.002671335,0.0061624,0.014215804,2
46,down,8.640657812,13.09147419,16.82950057,9.548285013,14.51288635,18.73616626,16.03176856,54.77765527,187.1653465,0.936546807
